,election_year,pc_name,pc_no,electors,male_electors,female_electors,votes_polled,male_voters,female_voters,votes_polled_percentage
364,1977,Muvattupuzha,12,560833,286254,274579,460769,237439,223330,82.2
365,1977,Muzaffarnagar,82,573365,310094,263271,405916,234051,171865,70.8
366,1977,Muzaffarpur,10,675405,357860,317545,512978,297736,215242,76.0
367,1977,Mysore,16,596468,311020,285448,375720,206866,168854,63.0
368,1977,Nabadwip,12,635456,338708,296748,371933,204596,167337,58.5
369,1977,Nagaland,1,473257,262593,210664,250016,143936,106080,52.8
370,1977,Nagapattinam,30,663463,332474,330989,523928,268167,255761,79.0
371,1977,Nagarkurnool,28,643692,320639,323053,368824,196483,172341,57.3
372,1977,Nagaur,25,639881,327084,312797,375278,199651,175627,58.7
373,1977,Nagercoil,39,646525,333790,312735,435474,232117,203357,67.4
374,1977,Nagpur,23,608981,321343,287638,392163,211604,180559,64.4
375,1977,Nainital,4,540445,300955,239490,326678,192075,134603,60.5
376,1977,Nalanda,34,749243,394240,355003,536717,347578,189139,71.6
377,1977,Nalgonda,41,631059,321502,309557,403761,214150,189611,64.0
378,1977,Nanded,30,649735,329261,320474,385300,215901,169399,59.3
379,1977,Nandurbar,15,520515,258397,262118,322606,171280,151326,62.0
380,1977,Nandyal,27,675340,334902,340438,496200,257956,238244,73.5
381,1977,Narasapur,10,670999,326255,344744,472161,234834,237327,70.4
382,1977,Narasaraopet,17,750248,373138,377110,434640,229822,204818,57.9
383,1977,Nashik,12,611491,312341,299150,334516,185575,148941,54.7
384,1977,Nawada,42,741486,387196,354290,518053,313277,204776,69.9
